source,target
2072,1536
2072,1628469
2137,200782
2137,202227
2137,202361
2198,101133
2198,2365
2198,202350
2199,201600
2199,203105
2199,201595
2200,101135
2200,202328
2202,2747
2202,1627851
2202,1628402
2203,2586
2203,1626203
2205,201181
2205,2740
2207,201564
2207,201958
2207,202779
2209,1628425
2209,2047
2209,1626192
2210,1629006
2210,101110
2210,203106
2211,203086
2211,1628391
2211,1628380
2216,2430
2216,202683
2216,101154
2217,200749
2217,202687
2217,202962
2222,1628021
2222,203924
2223,202332
2223,201585
2223,202334
2224,203705
2224,203515
2224,203088
2225,1628368
2225,101198
2225,201952
2229,202714
2229,203898
2229,2749
2230,101214
2230,1628384
2230,203138
2239,2407
2239,689
2239,202327
2240,1628372
2240,201943
2240,1628455
2246,202700
2246,203932
2246,1627737
2248,1853
2248,203515
2248,1628515
2250,203187
2250,1626148
2250,2047
2294,203710
2294,714
2294,203117
2306,203268
2306,203499
2306,203489
2365,101133
2365,203105
2366,1628414
2366,2863
2366,202082
2397,2405
2397,1628405
2397,201593
2399,1626224
2399,2772
2399,203098
2400,1627746
2400,203093
2400,1628976
2403,200783
2403,1626178
2403,1628421
2404,202379
2404,201574
2404,202389
2405,1626149
2405,1628405
2406,201590
2406,201978
2406,2804
2407,689
2407,2046
2407,202327
2408,201880
2419,201603
2419,2605
2419,1628407
2420,201591
2420,201577
2420,201959
2422,204098
2422,201584
2427,101128
2427,203493
2427,1629003
2429,2617
2429,2853
2429,203101
2430,2549
2430,101135
2431,202720
2431,201957
2431,203094
2436,203895
2436,2732
2440,203998
2440,203488
2440,202357
2443,201160
2443,201591
2443,2694
2446,101128
2446,203493
2449,101154
2449,2549
2449,2400
2457,101249
2457,201988
2457,1628988
2484,1627789
2484,203484
2501,201595
2501,2048
2501,201600
2544,201566
2544,201142
2544,2548
2545,2694
2545,201591
2545,203948
2546,201142
2546,1717
2547,201572
2547,1626149
2547,201576
2548,201942
2548,201565
2548,203100
2549,2744
2550,202721
2550,101179
2550,203957
2551,101127
2551,1503
2551,2757
2553,101128
2553,203493
2553,2446
2554,203798
2554,201858
2555,1627778
2555,203512
2555,202686
2556,203913
2556,1626150
2556,201151
2557,2757
2557,101109
2557,202714
2561,2449
2561,708
2561,1628385
2562,203503
2562,1627835
2563,201604
2563,202333
2563,1627820
2564,201986
2564,202709
2564,201177
2566,201590
2566,1627786
2566,200760
2568,204038
2568,203200
2568,2756
2570,202686
2570,203512
2570,956
2571,203079
2571,2732
2571,2207
2572,201814
2572,201945
2572,201966
2574,1626173
2574,1629102
2574,204014
2575,1629001
2575,1628515
2581,203521
2581,2768
2584,201584
2584,1628415
2584,202734
2585,203920
2585,1628389
2585,1626245
2586,1628390
2588,200761
2590,201166
2590,203504
2590,200826
2592,203518
2592,1629130
2592,201611
2594,201980
2594,203493
2594,1629244
2605,200758
2605,200776
2617,203101
2617,200767
2624,202810
2624,202079
2694,203948
2694,203940
2730,406
2730,200796
2730,1628405
2731,202684
2731,203186
2731,204028
2732,203095
2732,203079
2733,203268
2733,203489
2733,2306
2734,202391
2734,203915
2734,202178
2735,201153
2735,201967
2735,1628990
2736,203084
2736,202700
2736,201814
2738,1627936
2738,201986
2740,1903
2740,203128
2740,201181
2742,101109
2742,203148
2742,202714
2743,203458
