source,target
2736,201145
2736,201814
2736,2572
2738,1626153
2738,1627936
2738,201228
2740,703
2740,203961
2742,1626170
2742,203526
2743,201574
2743,2199
2743,203092
2744,202696
2744,1629028
2746,201576
2746,200794
2746,200752
2747,203552
2747,202083
2747,101139
2748,1628978
2748,203109
2749,202349
2749,200771
2753,202709
2753,203898
2753,1628393
2754,1627885
2754,201147
2754,201152
2755,203930
2755,203501
2755,202688
2756,204038
2756,201162
2756,200789
2757,101127
2760,203469
2760,203476
2768,203521
2768,1627853
2772,201962
2772,1627788
2772,203109
2804,1628995
2804,2399
2804,1627789
2853,200777
2863,202087
2863,2605
2863,201604
101106,203124
101106,203089
101106,2223
101107,201948
101107,1627846
101107,1627823
101108,201937
101108,1884
101108,201144
101109,202714
101109,203898
101109,1627755
101111,201583
101111,202703
101111,203142
101112,200761
101112,2588
101112,203998
101113,1627790
101113,201593
101113,201171
101114,200826
101114,203915
101114,201951
101115,1627826
101115,203186
101115,202685
101120,202347
101120,1628382
101120,202713
101121,201154
101121,202365
101121,203199
101122,1627759
101122,1626162
101122,1628369
101123,101139
101123,201156
101123,1627736
101124,201171
101124,202396
101124,201946
101126,201943
101126,1627832
101127,202388
101128,202325
101128,201980
101128,1629003
101129,1627782
101129,201167
101129,2584
101130,202730
101131,200780
101131,203135
101131,201805
101132,203118
101132,201978
101132,1628995
101133,200811
101133,203469
101133,200749
101135,1627734
101138,201591
101138,201146
101139,203082
101141,203482
101141,203967
101142,202327
101142,202350
101142,1627745
101144,1628415
101144,1627782
101144,201604
101145,203506
101145,202339
101145,201144
101150,202689
101150,202688
101150,202330
101153,203922
101153,202713
101153,202347
101154,200794
101154,202328
101154,1628385
101155,203524
101155,203922
101155,201964
101161,202379
101161,1626172
101161,201959
101162,202389
101162,2731
101162,1628976
101177,2408
101177,436
101179,201596
101179,1626145
101179,203499
101181,203521
101181,2749
101187,101110
101187,1626203
101187,711
101189,203476
101189,201146
101189,200749
101198,201951
101198,201952
101198,201155
101211,101153
101211,1628411
101214,203117
101214,1626203
101214,203111
101235,201966
101235,203933
101235,203498
101236,2555
101236,201181
101236,202970
101249,201985
101249,200751
101249,203504
200081,202325
200081,201964
200081,1628470
200745,2547
200745,2431
200746,201578
200746,201171
200748,203476
200748,1882
200748,202350
200749,202350
200749,101131
200750,203952
200750,201942
200751,204038
200751,200789
200751,1628379
200752,1628367
200752,202705
200752,203953
200755,201156
200755,201158
200755,203501
200757,200782
200757,202082
200757,1628969
200758,200776
200758,2605
200758,202087
200760,1628404
200760,203463
200760,2484
200761,201575
200761,2209
200761,1629003
200762,201957
200762,2246
200762,203210
200765,203901
200765,204456
200765,1884
200766,202714
200766,201953
200766,101109
200767,203101
200767,1737
200767,1626172
200768,2240
200768,202689
200769,202340
200769,1626181
200769,203914
200770,1627832
200771,202714
200771,101109
200776,201041
200776,2605
200777,202730
200779,201161
200779,203584
200779,1629244
200780,203135
200780,202350
200782,1626214
200782,1626169
200783,201168
200783,1627734
200783,2449
200789,203917
200789,711
200794,203939
200796,201946
200796,101124
200796,202396
200797,202396
200797,101131
200797,2198
200811,203920
200817,2551
200817,200766
200817,202724
200826,202704
200826,1628973
201041,203499
201041,2248
201141,203497
201141,202355
201141,203186
201142,1626164
201142,977
201143,201150
201143,201563
201144,201950
201144,201952
201144,201951
201145,203895
201145,203084
201146,201160
201146,101131
201147,1627786
201147,203145
201147,203506
201148,1626158
201148,203089
201148,203093
201149,203920
201149,1628389
201149,200811
201150,1628380
201150,2246
201150,201957
201151,2551
201151,201954
201151,201155
201152,200752
201152,203953
201152,1890
201153,202686
201154,201974
201154,2572
201155,201196
201155,203462
201156,203501
201157,202363
201157,203481
201157,202327
201158,202390
201160,101138
201160,203135
201161,1629244
201161,2594
201161,202337
201162,1626214
201163,203118
201163,1627774
201163,201978
201164,203894
201164,203200
201164,201976
201166,203992
201166,203504
201166,2037
